address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"69-71 Gibson Ave",875000,3,1.5,1248,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/6971-Gibson-Ave-10308/home/196128163"
"8820 205th St",878000,0,0,1908,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/NY/Hollis/8820-205th-St-11423/home/20751936"
"33 Natick St",900000,0,0,1032,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/33-Natick-St-10306/home/56065884"
"4-19 121st St",911550,4,3,829,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/College-Point/4-19-121st-St-11356/home/189847278"
"240 51st Ave Unit 4E",915000,0,0,696,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/NY/Long-Island-City/240-51st-Ave-11101/unit-4E/home/21689920"
"2066 Bay Ridge Pkwy",925000,4,1.5,1600,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/2066-Bay-Ridge-Pkwy-11204/home/40824852"
"73-38 178th St",935000,3,2,1340,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/NY/Fresh-Meadows/7338-178th-St-11366/home/20815211"
"54 Hull St",940000,5,3,0,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/54-Hull-St-11233/home/40718104"
"865 United Nations Plz Unit 13C",945000,0,0,939,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/NY/New-York/865-United-Nations-Plz-10017/unit-13C/home/45209600"
"1150 Huguenot Ave",955000,3,3,1559,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/1150-Huguenot-Ave-10312/home/56096718"
