# Phoenix, AZ Baseline Calculation Summary
# Generated: 2025-06-25T06:44:54.806Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $460,000
# Price Range (after outliers): $150,000 - $3,780,000
# Median Calculation: Middle value: $460,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"1640 W Charleston Ave",395000,3,2,1566,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1640-W-Charleston-Ave-85023/home/27936696"
"4110 E La Puente Ave",395000,0,0,0,"2025-04-03T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4110-E-La-Puente-Ave-85044/home/27275141"
"4114 N 55th Ave",395000,4,2,1692,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4114-N-55th-Ave-85031/home/27092071"
"5104 N 32nd St #443",397500,2,2,1277,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5104-N-32nd-St-85018/unit-443/home/27993832"
"9840 W Avalon Dr",397990,3,2,1400,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/9840-W-Avalon-Dr-85037/home/194222060"
"2727 W Libby St",399999,3,2,1505,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2727-W-Libby-St-85053/home/28102003"
"5218 W Stargazer Pl",400000,3,2,1371,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/AZ/Laveen/5218-W-Stargazer-Pl-85339/home/175277391"
"24410 N 39th Ave",400000,0,3,1805,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/AZ/Glendale/24410-N-39th-Ave-85310/home/27893210"
"17417 N 29th Ave",400000,4,2,1588,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/17417-N-29th-Ave-85053/home/27006723"
"2828 E Windsong Dr",400000,0,4,2164,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2828-E-Windsong-Dr-85048/home/27947483"
"829 S 30th Ave",400000,0,0,1219,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/829-S-30th-Ave-85009/home/27720920"
"16409 S 33rd St",403500,3,2.5,2078,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/16409-S-33rd-St-85048/home/27559395"
"5752 W Novak Way",405000,3,2,1889,"2025-06-12T07:00:00Z","YES","https://www.redfin.com/AZ/Laveen/5752-W-Novak-Way-85339/home/28243496"
"3029 N 83rd Ln",405000,4,2,1784,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3029-N-83rd-Ln-85037/home/27651264"
"16607 N 30th Ave",408000,2,2,1487,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/16607-N-30th-Ave-85053/home/28363959"
"2637 E Marilyn Rd",410000,0,3,1594,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2637-E-Marilyn-Rd-85032/home/27873441"
"5716 S Daisy Patch Pl",413900,3,2,1628,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5716-S-Daisy-Patch-Pl-85040/home/183158216"
"4138 W Barbara Ave",414900,3,2,1752,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/4138-W-Barbara-Ave-85051/home/27207104"
"5834 S Daisy Patch Pl",414900,3,2,1628,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/5834-S-Daisy-Patch-Pl-85040/home/183158204"
"1542 E Galvin St",415000,3,2,1466,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1542-E-Galvin-St-85086/home/27520041"
"422 E Taro Ln",415000,3,2.5,1663,"2025-04-07T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/422-E-Taro-Ln-85024/home/26878456"
